,Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Dung tích động cơ,Loại động cơ,Hộp số,Xuất xứ,Kiểu dáng,Số ngày bài đã đăng
42,honda,crv l 2019,733,2019.0,50000.0,1.5,xăng,số tự động,nhập khẩu,suv,32.0
43,hyundai,santafe tiêu chuẩn 2.2l 2021,815,2021.0,76000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
44,kia,carnival signature 2.2d 2022,1150,2022.0,65000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
45,kia,morning si at 2017,279,2017.0,60000.0,1.25,xăng,số tự động,lắp ráp trong nước,hatchback,32.0
46,kia,sedona 2.2l dath 2017,679,2017.0,92000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
47,mazda,2 1.5 at 2017,339,2017.0,80000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
48,mercedes,benz c class c300 amg 2012,348,2012.0,130000.0,3.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
50,mercedes,benz glc 200 2019,988,2019.0,46000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
51,mercedes,benz glc 200 2022,1358,2022.0,28000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
53,toyota,camry 2.5q 2014,485,2014.0,100000.0,2.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
54,toyota,fortuner 2.4g 4x2 at legender 2021,930,2021.0,39000.0,2.4,dầu,số tự động,lắp ráp trong nước,suv,32.0
55,vinfast,fadil 1.4 at 2021,290,2021.0,60000.0,1.4,xăng,số tự động,lắp ráp trong nước,hatchback,32.0
56,audi,q2 1.4 tfsi 2019,858,2019.0,66000.0,1.4,xăng,số tự động,nhập khẩu,crossover,32.0
57,ford,everest titanium 2.0l 4x2 at 2022,935,2022.0,42000.0,2.0,dầu,số tự động,nhập khẩu,suv,32.0
58,ford,everest titanium 2.0l 4x4 at 2022,1015,2022.0,41000.0,2.0,dầu,số tự động,nhập khẩu,suv,32.0
59,ford,ranger raptor 2.0l 4x4 at 2021,980,2021.0,63000.0,2.0,dầu,số tự động,nhập khẩu,bán tải / pickup,32.0
60,ford,ranger raptor 2.0l 4x4 at 2023,1155,2023.0,28000.0,2.0,dầu,số tự động,nhập khẩu,bán tải / pickup,32.0
61,honda,crv l 2020,777,2020.0,62000.0,1.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
62,hyundai,santafe cao cấp 2.2l htrac 2021,890,2021.0,60000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
63,hyundai,santafe cao cấp 2.5l htrac 2022,1045,2022.0,60000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
64,kia,sedona 2.2 dat luxury 2020,799,2020.0,90000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
65,mazda,3 1.5l luxury 2023,569,2023.0,38000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
66,mazda,cx5 2.5 at awd 2016,500,2016.0,75000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
67,mazda,cx5 2.5 signature premium 2wd 2020,690,2020.0,45000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
68,mercedes,benz e class e200 2019,999,2019.0,65000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
69,mitsubishi,outlander 2.0 cvt 2022,690,2022.0,45000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
70,peugeot,2008 gt line 1.2 at 2023,665,2023.0,179626.7683965918,1.2,xăng,số tự động,lắp ráp trong nước,crossover,32.0
71,suzuki,swift glx 1.2 at 2021,460,2021.0,19000.0,1.2,xăng,số tự động,nhập khẩu,hatchback,32.0
72,toyota,fortuner 2.4g 4x2 at legender 2020,935,2020.0,65000.0,2.4,dầu,số tự động,lắp ráp trong nước,suv,32.0
73,toyota,fortuner 2.8v 4x4 at legender 2021,1050,2021.0,55000.0,2.8,dầu,số tự động,lắp ráp trong nước,suv,32.0
75,volvo,xc60 inscription b6 awd 2022,1699,2022.0,53000.0,2.0,xăng,số tự động,nhập khẩu,suv,32.0
76,bmw,3 series 330i m sport 2021,1399,2021.0,42000.0,2.0,xăng,số tự động,nhập khẩu,sedan,32.0
77,hyundai,tucson 2.0 at đặc biệt 2021,699,2021.0,52000.0,2.0,xăng,số tự động,lắp ráp trong nước,crossover,32.0
78,kia,carnival premium 2.2d 2022,1129,2022.0,60000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
79,kia,sorento dath 2015,495,2015.0,130000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
81,mazda,6 2.0l premium 2018,445,2018.0,146000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
82,mercedes,benz c class c200 2016,595,2016.0,108000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
83,mercedes,benz c class c300 amg 2019,999,2019.0,89000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
84,mercedes,benz c class c300 amg 2020,1039,2020.0,30999.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
85,mercedes,benz c class c300 amg 2020,1059,2020.0,35000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
86,mercedes,benz glc 200 2019,988,2019.0,44999.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
88,toyota,corolla altis 2.0v sport 2017,500,2017.0,85000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
89,toyota,fortuner 2.4l 4x2 at 2022,935,2022.0,76000.0,2.4,dầu,số tự động,lắp ráp trong nước,suv,32.0
90,toyota,innova 2.0e 2013,238,2013.0,138000.0,2.0,xăng,số tay,lắp ráp trong nước,crossover,32.0
91,toyota,innova 2.0g 2019,525,2019.0,177000.0,2.0,xăng,số tự động,lắp ráp trong nước,crossover,32.0
93,volkswagen,t,1,2023.0,5000.0,1.0,xăng,số tự động,nhập khẩu,crossover,32.0
94,volvo,s90 inscription t6 2020,1399,2020.0,34000.0,2.0,xăng,số tự động,nhập khẩu,sedan,32.0
95,bmw,3 series 320i m sport 2024,1599,2024.0,9100.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
97,honda,hrv g 2018,486,2018.0,77000.0,1.8,xăng,số tự động,nhập khẩu,crossover,32.0
98,mercedes,benz c class c200 2016,595,2016.0,102000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
99,mercedes,benz c class c200 2016,580,2016.0,69000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
100,mercedes,benz c class c200 2016,579,2016.0,69000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
101,mercedes,benz c class c200 2016,579,2016.0,69173.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
102,mercedes,benz e class e200 2019,1039,2019.0,65458.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
103,mercedes,benz glc 200 2022,1359,2022.0,28000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
104,mercedes,benz glc 200 4matic 2021,1389,2021.0,53000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
105,mercedes,benz glc 300 4matic 2019,1099,2019.0,84000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
106,mercedes,benz glc 300 4matic 2019,1089,2019.0,71000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
108,mitsubishi,xpander premium 1.5 at 2022,535,2022.0,60000.0,1.5,xăng,số tự động,nhập khẩu,suv,32.0
109,nissan,sunny xv premium s 2018,253,2018.0,80000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
111,toyota,corolla cross 1.8g 2020,630,2020.0,62000.0,1.8,xăng,số tự động,nhập khẩu,suv,32.0
112,toyota,innova 2.0e 2017,435,2017.0,109000.0,2.0,xăng,số tay,lắp ráp trong nước,crossover,32.0
113,toyota,vios g 1.5 cvt 2022,445,2022.0,45000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
114,ford,focus titanium 2.0 at 2014,289,2014.0,130000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
115,ford,transit svp 2018,410,2018.0,100000.0,2.4,dầu,số tay,lắp ráp trong nước,van/minivan,32.0
116,honda,city rs 1.5 at 2023,495,2023.0,50000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
117,honda,civic 1.8 at 2009,218,2009.0,90000.0,1.8,xăng,số tự động,lắp ráp trong nước,sedan,32.0
118,honda,crv 2.0 at 2015,475,2015.0,110000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
119,hyundai,i10 grand 1.2 at 2019,298,2019.0,39000.0,1.25,xăng,số tự động,lắp ráp trong nước,hatchback,32.0
120,hyundai,santafe cao cấp 2.5l htrac 2023,1125,2023.0,48000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
121,hyundai,santafe premium 2.2l htrac 2020,875,2020.0,60000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
122,kia,carnival signature 2.2d 2023,1265,2023.0,60000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
124,mazda,6 2.0l premium 2018,465,2018.0,90000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
125,mazda,6 2.5l premium 2017,439,2017.0,90000.0,2.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
128,mercedes,benz glc 300 4matic 2019,1088,2019.0,85000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
129,mitsubishi,pajero sport d 4x2 at 2012,345,2012.0,8000.0,2.5,dầu,số tự động,lắp ráp trong nước,suv,32.0
131,toyota,camry le 2.5 2009,420,2009.0,156000.0,2.5,xăng,số tự động,nhập khẩu,sedan,32.0
132,toyota,corolla cross 1.8v 2021,650,2021.0,55000.0,1.8,xăng,số tự động,nhập khẩu,suv,32.0
135,ford,ecosport titanium 1.0 ecoboost 2018,415,2018.0,98238.0,1.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
136,ford,ecosport titanium 1.5l at 2019,379,2019.0,84000.0,1.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
137,ford,everest titanium 2.0l 4x2 at 2022,1150,2022.0,40000.0,2.0,dầu,số tự động,nhập khẩu,suv,32.0
138,ford,everest titanium 2.0l 4x2 at 2024,1265,2024.0,13000.0,2.0,dầu,số tự động,nhập khẩu,suv,32.0
139,ford,focus titanium 1.5l 2016,365,2016.0,140000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
140,ford,ranger xls 2.2l 4x2 at 2021,565,2021.0,100000.0,2.2,dầu,số tự động,nhập khẩu,bán tải / pickup,32.0
142,lexus,rx 350 2009,699,2009.0,77000.0,3.5,xăng,số tự động,nhập khẩu,suv,32.0
143,mercedes,benz c class c250 2012,350,2012.0,80000.0,1.8,xăng,số tự động,lắp ráp trong nước,sedan,32.0
144,mercedes,benz e class e200 exclusive 2021,1450,2021.0,54000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
146,mercedes,benz glc 200 2022,1359,2022.0,39000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
147,suzuki,swift glx 1.2 at 2023,515,2023.0,179626.7683965918,1.2,xăng,số tự động,nhập khẩu,hatchback,32.0
148,toyota,camry 2.0e 2017,575,2017.0,93000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
150,toyota,innova cross hev 2.0 cvt 2025,1025,2025.0,3000.0,2.0,hybrid,số tự động,nhập khẩu,crossover,32.0
151,toyota,vios e cvt 2022,415,2022.0,43000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
152,toyota,vios g 1.5 cvt 2022,455,2022.0,78000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
153,vinfast,vf3 plus 2024,229,2024.0,10012.0,2.097780157324657,điện,số tự động,lắp ráp trong nước,hatchback,32.0
154,audi,a4 2.0 tfsi 2016,660,2016.0,110000.0,2.0,xăng,số tự động,nhập khẩu,sedan,32.0
155,honda,brio rs 2021,365,2021.0,24000.0,1.2,xăng,số tự động,nhập khẩu,hatchback,32.0
157,mazda,3 1.5l luxury 2022,558,2022.0,21000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
158,mazda,3 2.0l sport signature premium 2019,485,2019.0,36500.0,2.0,xăng,số tự động,lắp ráp trong nước,hatchback,32.0
159,mercedes,benz c class c200 avantgarde plus 2022,1279,2022.0,22000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
160,mercedes,benz e class e180 2021,1249,2021.0,36000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
161,mercedes,benz e class e180 2021,1249,2021.0,43000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
162,mercedes,benz e class e200 exclusive 2021,1499,2021.0,38000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
165,mercedes,benz glc 200 4matic 2022,1646,2022.0,9000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
172,toyota,fortuner legender 2.4l 4x2 at 2025,1199,2025.0,10.0,2.4,dầu,số tự động,lắp ráp trong nước,suv,32.0
173,toyota,prado txl 2.7l 2015,1080,2015.0,100000.0,2.7,xăng,số tự động,nhập khẩu,suv,32.0
174,honda,crv l 2018,690,2018.0,98000.0,1.5,xăng,số tự động,nhập khẩu,suv,32.0
175,hyundai,accent cao cấp 1.5 at 2025,529,2025.0,179626.7683965918,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
176,hyundai,accent cao cấp 1.5 at 2025,529,2025.0,179626.7683965918,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
177,hyundai,kona 2.0 ath 2019,455,2019.0,62000.0,2.0,xăng,số tự động,lắp ráp trong nước,crossover,32.0
178,hyundai,santafe 2.2l 4wd 2017,655,2017.0,150000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
179,hyundai,santafe cao cấp 2.2l htrac 2021,995,2021.0,33000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
180,hyundai,tucson 2.0 ath 2019,630,2019.0,79000.0,2.0,xăng,số tự động,lắp ráp trong nước,crossover,32.0
181,kia,seltos luxury 1.4 at 2021,520,2021.0,73000.0,1.4,xăng,số tự động,lắp ráp trong nước,crossover,32.0
183,mazda,3 1.5 at 2016,340,2016.0,79000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
184,mazda,3 1.5l deluxe 2022,495,2022.0,41000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
185,mercedes,benz c class c300 amg 2021,1199,2021.0,38000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
186,mercedes,benz glc 250 4matic 2016,769,2016.0,75000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
187,mercedes,benz glc 300 4matic 2018,1050,2018.0,54000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
188,mitsubishi,outlander premium 2.0 cvt 2021,685,2021.0,65000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
190,toyota,fortuner 2.4g 4x2 mt 2019,775,2019.0,20000.0,2.4,dầu,số tay,nhập khẩu,suv,32.0
191,toyota,fortuner 2.7v 4x2 at 2020,730,2020.0,87000.0,2.7,xăng,số tự động,nhập khẩu,suv,32.0
192,toyota,fortuner 2.7v 4x4 at 2011,360,2011.0,34000.0,2.7,xăng,số tự động,lắp ráp trong nước,suv,32.0
193,toyota,wigo 1.2 at 2021,305,2021.0,4500.0,1.2,xăng,số tự động,nhập khẩu,hatchback,32.0
194,bmw,3 series 320i sport line 2024,1559,2024.0,33000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
197,ford,everest titanium 2.0l 4x4 at 2022,940,2022.0,98000.0,2.0,dầu,số tự động,nhập khẩu,suv,32.0
198,hyundai,custin cao cấp 2.0t 2025,950,2025.0,10000.0,2.0,xăng,số tự động,lắp ráp trong nước,van/minivan,32.0
200,lexus,rx 350 awd 2009,695,2009.0,132000.0,3.5,xăng,số tự động,nhập khẩu,suv,32.0
201,mazda,cx5 2.0 premium 2020,665,2020.0,179626.7683965918,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
204,mercedes,benz gla class gla 200 2019,949,2019.0,21000.0,1.6,xăng,số tự động,nhập khẩu,suv,32.0
205,mercedes,benz glc 200 4matic 2022,1498,2022.0,35000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
206,mercedes,benz glc 250 4matic 2017,780,2017.0,179626.7683965918,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
210,suzuki,swift 1.4 at 2014,255,2014.0,179626.7683965918,1.4,xăng,số tự động,lắp ráp trong nước,hatchback,32.0
211,toyota,corolla altis 1.8g at 2010,288,2010.0,179626.7683965918,1.8,xăng,số tự động,lắp ráp trong nước,sedan,32.0
212,toyota,fortuner 2.7v 4x4 at 2011,323,2011.0,12000.0,2.7,xăng,số tự động,lắp ráp trong nước,suv,32.0
214,ford,ranger raptor 2.0l 4x4 at 2024,1175,2024.0,39000.0,2.0,dầu,số tự động,nhập khẩu,bán tải / pickup,32.0
215,hyundai,santafe cao cấp 2.2l htrac 2022,1115,2022.0,67000.0,2.2,dầu,số tự động,lắp ráp trong nước,suv,32.0
216,hyundai,santafe cao cấp 2.5l htrac 2024,1199,2024.0,24000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
217,kia,carnival signature 2.2d 2022,1180,2022.0,90000.0,2.2,dầu,số tự động,lắp ráp trong nước,van/minivan,32.0
218,kia,carnival signature 3.5g 2022,1190,2022.0,40000.0,3.5,xăng,số tự động,lắp ráp trong nước,van/minivan,32.0
219,kia,sorento 2.4 gat premium 2021,625,2021.0,50000.0,2.4,xăng,số tự động,lắp ráp trong nước,suv,32.0
220,kia,sportage signature x,1,2024.0,20000.0,1.6,xăng,số tự động,lắp ráp trong nước,crossover,32.0
222,mercedes,benz c class c300 amg 2021,1245,2021.0,50000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
223,mercedes,benz glb 200 amg 2020,950,2020.0,10.0,1.3,xăng,số tự động,nhập khẩu,suv,32.0
225,mercedes,benz s class s500l 2015,1299,2015.0,179626.7683965918,4.7,xăng,số tự động,lắp ráp trong nước,sedan,32.0
226,mooc,40 feet 32 tấn 2016,129,2016.0,179626.7683965918,2.097780157324657,dầu,số tay,lắp ráp trong nước,truck,32.0
227,peugeot,2008 gt line 1.2 at 2022,620,2022.0,57000.0,1.2,xăng,số tự động,lắp ráp trong nước,crossover,32.0
229,toyota,fortuner 2.7v 4x2 at 2017,645,2017.0,80000.0,2.7,xăng,số tự động,nhập khẩu,suv,32.0
230,toyota,rush 1.5s at 2018,410,2018.0,77000.0,1.5,xăng,số tự động,nhập khẩu,suv,32.0
231,vinfast,vf3 plus 2024,239,2024.0,179626.7683965918,2.097780157324657,điện,số tự động,lắp ráp trong nước,hatchback,32.0
232,vinfast,vf3 plus 2024,239,2024.0,179626.7683965918,2.097780157324657,điện,số tự động,lắp ráp trong nước,hatchback,32.0
233,volkswagen,tiguan allspace 2022,1390,2022.0,5000.0,2.0,xăng,số tự động,nhập khẩu,suv,32.0
235,bmw,5 series 520i 2016,699,2016.0,27000.0,2.0,xăng,số tự động,nhập khẩu,sedan,32.0
236,ford,everest titanium plus 2.0l 4x4 at 2023,1345,2023.0,20000.0,2.0,dầu,số tự động,nhập khẩu,suv,32.0
238,honda,crv 2.4 at 2015,469,2015.0,80000.0,2.4,xăng,số tự động,lắp ráp trong nước,suv,32.0
239,honda,crv l 2025,1065,2025.0,6000.0,1.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
240,hyundai,santafe cao cấp 2.5l htrac 2022,1050,2022.0,40000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
242,mazda,3 1.5l luxury 2025,635,2025.0,2600.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
243,mercedes,benz c class c200 avantgarde plus 2021,1259,2021.0,48000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
244,mercedes,benz c class c200 exclusive 2021,999,2021.0,77232.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
245,mercedes,benz c class c200 exclusive 2021,999,2021.0,48000.0,1.5,xăng,số tự động,lắp ráp trong nước,sedan,32.0
246,mercedes,benz c class c300 amg 2020,999,2020.0,77000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
247,mercedes,benz e class e200 2018,999,2018.0,42000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
248,mercedes,benz e class e200 2018,999,2018.0,67000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
250,nissan,x trail v series 2.5 sv luxury 4wd 2019,599,2019.0,50000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
251,porsche,macan 2.0 2015,1359,2015.0,76800.0,2.0,xăng,số tự động,nhập khẩu,suv,32.0
253,toyota,corolla altis 1.8v 2023,695,2023.0,20000.0,1.8,xăng,số tự động,nhập khẩu,sedan,32.0
254,bmw,3 series 330i m sport 2023,1698,2023.0,17000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
255,hyundai,santafe tiêu chuẩn 2.5l 2022,899,2022.0,40000.0,2.5,xăng,số tự động,lắp ráp trong nước,suv,32.0
256,kia,morning van 1.0 at 2012,133,2012.0,179626.7683965918,1.0,xăng,số tự động,nhập khẩu,van/minivan,32.0
259,lexus,nx 300 2017,1579,2017.0,66000.0,2.0,xăng,số tự động,nhập khẩu,suv,32.0
260,mercedes,benz c class c300 amg 2019,999,2019.0,41000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
261,mercedes,benz c class c300 amg 2022,1589,2022.0,27000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
262,mercedes,benz c class c300 amg 2022,1679,2022.0,13000.0,2.0,xăng,số tự động,nhập khẩu,sedan,32.0
263,mercedes,benz e class e200 2016,759,2016.0,42000.0,2.0,xăng,số tự động,lắp ráp trong nước,sedan,32.0
265,mercedes,benz glc 200 2021,1259,2021.0,55000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
266,mercedes,benz glc 200 2021,1179,2021.0,45000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
267,mercedes,benz glc 200 4matic 2022,1499,2022.0,41000.0,2.0,xăng,số tự động,lắp ráp trong nước,suv,32.0
269,nissan,sunny classic 1.6 at 2009,198,2009.0,76000.0,1.6,xăng,số tự động,nhập khẩu,sedan,32.0
270,peugeot,5008 al 1.6 at 2022,835,2022.0,30000.0,1.6,xăng,số tự động,lắp ráp trong nước,suv,32.0
271,toyota,raize g 1.0 cvt 2023,479,2023.0,18000.0,1.0,xăng,số tự động,nhập khẩu,suv,32.0
